User_Id,Place_Id,Place_Ratings,Tourguide_Id,Tourguide_Ratings
1,438,2,13,5
20,438,2,99,1
39,438,3,37,3
58,438,2,68,4
77,438,5,5,4
96,438,4,27,5
2,439,4,84,2
21,439,2,71,5
40,439,4,6,3
59,439,1,4,3
78,439,4,92,2
97,439,2,23,4
3,440,5,8,1
22,440,4,76,4
41,440,2,31,2
60,440,2,53,3
79,440,1,95,4
98,440,4,42,4
4,441,2,83,2
23,441,2,52,3
42,441,3,98,3
61,441,5,57,5
80,441,3,46,4
99,441,5,17,4
5,442,3,9,2
24,442,5,89,3
43,442,2,7,3
62,442,4,38,4
81,442,1,64,2
100,442,1,26,5
6,443,2,97,2
25,443,4,12,4
44,443,4,100,2
63,443,2,61,4
82,443,2,33,1
7,444,3,87,4
26,444,4,58,4
45,444,3,45,4
64,444,3,29,5
83,444,5,40,4
8,445,4,79,5
27,445,3,94,5
46,445,3,36,4
65,445,1,60,3
84,445,3,82,4
9,446,5,56,5
28,446,5,49,3
47,446,2,18,2
66,446,2,96,4
85,446,1,25,5
10,447,4,1,3
29,447,4,81,2
48,447,1,70,5
67,447,5,34,2
86,447,4,63,5
11,448,2,90,4
30,448,4,67,3
49,448,1,43,5
68,448,3,73,4
87,448,1,28,5
12,449,2,16,5
31,449,4,85,4
50,449,3,32,3
69,449,1,51,4
88,449,3,62,2
13,450,4,24,4
32,450,4,91,4
51,450,3,74,5
70,450,1,14,1
89,450,5,47,2
14,451,3,35,3
33,451,2,54,5
52,451,1,86,4
71,451,3,22,3
90,451,2,69,3
15,452,3,11,4
34,452,5,80,5
53,452,1,41,3
72,452,2,75,4
91,452,2,19,5
16,453,5,3,5
35,453,5,50,3
54,453,4,20,3
73,453,1,88,3
92,453,5,65,2
17,454,3,72,2
36,454,2,21,2
55,454,1,93,2
74,454,3,66,2
93,454,4,55,4
18,455,2,10,4
37,455,3,48,5
56,455,4,39,4
75,455,3,78,2
94,455,4,15,2
19,456,2,6,3
38,456,5,28,5
57,456,1,59,2
76,456,2,43,3
95,456,3,8,2
101,457,3,96,3
120,457,5,77,4
139,457,4,98,5
158,457,3,47,2
177,457,5,54,2
196,457,5,35,4
102,458,2,84,4
121,458,3,19,3
140,458,5,27,5
159,458,3,91,4
178,458,5,80,4
197,458,5,9,3
103,459,3,73,5
122,459,4,51,5
141,459,5,18,3
160,459,3,32,4
179,459,5,63,2
198,459,5,87,2
104,460,4,46,3
123,460,3,1,4
142,460,5,82,4
161,460,4,20,5
180,460,5,95,4
199,460,5,30,5
105,461,3,89,3
124,461,5,40,4
143,461,4,70,3
162,461,3,60,3
181,461,5,24,3
200,461,5,76,4
106,462,4,85,5
125,462,5,94,3
144,462,4,13,3
163,462,3,37,2
182,462,5,56,3
107,463,3,67,2
126,463,3,29,4
145,463,5,83,4
164,463,3,12,5
183,463,5,11,5
108,464,3,75,3
127,464,3,42,3
146,464,5,69,3
165,464,3,16,2
184,464,5,38,5
109,465,1,99,4
128,465,2,45,2
147,465,4,22,5
166,465,3,58,1
185,465,5,17,2
110,466,4,71,5
